Data,Temperatura mínima diária,Temperatura máxima diária,Vento constante máximo,Rajada de vento máxima,Precipitação diária total,Espessura de neve,Pressão,Ícone,Descrição
20/08/2019,16°C,27°C,15 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
21/08/2019,15°C,30°C,16 Km/h,35 Km/h,0mm,N/A,N/A,,eventos climáticos não informados
22/08/2019,14°C,29°C,21 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
23/08/2019,13°C,27°C,24 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
24/08/2019,12°C,28°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
25/08/2019,12°C,31°C,24 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
26/08/2019,15°C,31°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
27/08/2019,16°C,31°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
28/08/2019,17°C,28°C,21 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
29/08/2019,15°C,31°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
30/08/2019,15°C,33°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
31/08/2019,16°C,35°C,22 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
1/9/2019,19°C,34°C,32 Km/h,N/A,0mm,N/A,N/A,,Tempestade de raios
2/9/2019,18°C,31°C,15 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
3/9/2019,19°C,29°C,16 Km/h,N/A,N/A,N/A,N/A,,Chuva
4/9/2019,19°C,34°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
5/9/2019,18°C,32°C,32 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
6/9/2019,18°C,33°C,26 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
7/9/2019,19°C,33°C,22 Km/h,N/A,0mm,N/A,N/A,,Tempestade de raios
8/9/2019,20°C,34°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
9/9/2019,21°C,35°C,21 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
10/9/2019,20°C,36°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
11/9/2019,20°C,38°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
12/9/2019,19°C,38°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
13/09/2019,19°C,38°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
14/09/2019,21°C,37°C,22 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
15/09/2019,21°C,36°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
16/09/2019,18°C,37°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
17/09/2019,18°C,37°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
18/09/2019,20°C,38°C,29 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
19/09/2019,21°C,37°C,24 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
20/09/2019,19°C,36°C,28 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
21/09/2019,22°C,35°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
22/09/2019,19°C,33°C,34 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
23/09/2019,17°C,32°C,28 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
24/09/2019,18°C,33°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
25/09/2019,18°C,26°C,16 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
26/09/2019,17°C,20°C,11 Km/h,N/A,N/A,N/A,N/A,,Chuva
27/09/2019,14°C,28°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
28/09/2019,15°C,31°C,21 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
